,Library_Occupancy,Students_Traveling,Students_In_Library,Students_In_Lecture,Students_Off_Campus
67,"{'Arts and Social Sciences': 558, 'Chemistry': 75, 'Education': 0, 'Medical': 81, 'Physics': 67, ""Queen's Building"": 153, 'Wills Memorial': 449, 'Beacon House': 378, 'Brambles and Hawthorns': 25, 'Grace Reeves': 25, 'Senate House': 506}",0,2317,640,1043
68,"{'Arts and Social Sciences': 551, 'Chemistry': 65, 'Education': 0, 'Medical': 80, 'Physics': 66, ""Queen's Building"": 151, 'Wills Memorial': 453, 'Beacon House': 372, 'Brambles and Hawthorns': 17, 'Grace Reeves': 20, 'Senate House': 478}",390,2253,454,903
69,"{'Arts and Social Sciences': 553, 'Chemistry': 65, 'Education': 0, 'Medical': 80, 'Physics': 66, ""Queen's Building"": 151, 'Wills Memorial': 453, 'Beacon House': 372, 'Brambles and Hawthorns': 17, 'Grace Reeves': 20, 'Senate House': 494}",0,2271,647,1082
70,"{'Arts and Social Sciences': 553, 'Chemistry': 65, 'Education': 0, 'Medical': 80, 'Physics': 66, ""Queen's Building"": 151, 'Wills Memorial': 453, 'Beacon House': 372, 'Brambles and Hawthorns': 17, 'Grace Reeves': 20, 'Senate House': 494}",0,2271,647,1082
71,"{'Arts and Social Sciences': 553, 'Chemistry': 65, 'Education': 0, 'Medical': 80, 'Physics': 66, ""Queen's Building"": 151, 'Wills Memorial': 453, 'Beacon House': 372, 'Brambles and Hawthorns': 17, 'Grace Reeves': 20, 'Senate House': 494}",0,2271,647,1082
72,"{'Arts and Social Sciences': 518, 'Chemistry': 68, 'Education': 0, 'Medical': 72, 'Physics': 63, ""Queen's Building"": 154, 'Wills Memorial': 435, 'Beacon House': 358, 'Brambles and Hawthorns': 11, 'Grace Reeves': 19, 'Senate House': 461}",390,2159,525,926
73,"{'Arts and Social Sciences': 518, 'Chemistry': 68, 'Education': 0, 'Medical': 72, 'Physics': 63, ""Queen's Building"": 154, 'Wills Memorial': 436, 'Beacon House': 358, 'Brambles and Hawthorns': 11, 'Grace Reeves': 19, 'Senate House': 480}",0,2179,719,1102
74,"{'Arts and Social Sciences': 518, 'Chemistry': 68, 'Education': 0, 'Medical': 72, 'Physics': 63, ""Queen's Building"": 154, 'Wills Memorial': 436, 'Beacon House': 358, 'Brambles and Hawthorns': 11, 'Grace Reeves': 19, 'Senate House': 480}",0,2179,719,1102
75,"{'Arts and Social Sciences': 518, 'Chemistry': 68, 'Education': 0, 'Medical': 72, 'Physics': 63, ""Queen's Building"": 154, 'Wills Memorial': 436, 'Beacon House': 358, 'Brambles and Hawthorns': 11, 'Grace Reeves': 19, 'Senate House': 480}",0,2179,719,1102
76,"{'Arts and Social Sciences': 499, 'Chemistry': 61, 'Education': 0, 'Medical': 57, 'Physics': 58, ""Queen's Building"": 152, 'Wills Memorial': 442, 'Beacon House': 366, 'Brambles and Hawthorns': 9, 'Grace Reeves': 16, 'Senate House': 454}",407,2114,510,969
